BeamNumber,BeamName,LayerIndex,ControlPointIndex,Energy_MeVu,SpotIndex,X_mm,Y_mm,MetersetWeight_MU,RelativeWeight,PlanRelativeWeight,NumberOfPaintings,WeightPerPainting_MU,FWHM_X_mm,FWHM_Y_mm,LowStatisticsAnchor,OriginalSpotIndex,OriginalSpotMetersetWeight_MU
1,1,43,84,242.95,2,-56.29999923706055,3.0,5627.174815368652,0.004583420396350241,0.004583420396350241,1,5627.174815368652,8.523449897766113,8.523449897766113,x_min,7,24.198299407958984
1,1,43,84,242.95,3,56.29999923706055,-2.0,5627.174815368652,0.004583420396350241,0.004583420396350241,1,5627.174815368652,8.523449897766113,8.523449897766113,x_max,1655,23.978599548339844
1,1,43,84,242.95,4,-0.8999999761581421,-57.0,5627.174815368652,0.004583420396350241,0.004583420396350241,1,5627.174815368652,8.523449897766113,8.523449897766113,y_min,838,22.20400047302246
1,1,43,84,242.95,5,6.099999904632568,57.0,5627.174815368652,0.004583420396350241,0.004583420396350241,1,5627.174815368652,8.523449897766113,8.523449897766113,y_max,917,21.153799057006836
1,1,44,86,245.25,1,0.8999999761581421,0.0,6424.103900146484,0.005232531387471306,0.005232531387471306,1,6424.103900146484,8.441200256347656,8.441200256347656,center,885,16.54199981689453
1,1,44,86,245.25,2,-56.29999923706055,-1.0,6424.103900146484,0.005232531387471306,0.005232531387471306,1,6424.103900146484,8.441200256347656,8.441200256347656,x_min,8,13.84570026397705
1,1,44,86,245.25,3,56.29999923706055,-2.0,6424.103900146484,0.005232531387471306,0.005232531387471306,1,6424.103900146484,8.441200256347656,8.441200256347656,x_max,1740,24.36549949645996
1,1,44,86,245.25,4,-0.8999999761581421,-57.0,6424.103900146484,0.005232531387471306,0.005232531387471306,1,6424.103900146484,8.441200256347656,8.441200256347656,y_min,871,24.21579933166504
1,1,44,86,245.25,5,2.5999999046325684,57.0,6424.103900146484,0.005232531387471306,0.005232531387471306,1,6424.103900146484,8.441200256347656,8.441200256347656,y_max,899,20.95210075378418
1,1,45,88,247.54,1,0.8999999761581421,0.0,7487.297398757934,0.006098518837069217,0.006098518837069217,1,7487.297398757934,8.361300468444824,8.361300468444824,center,903,20.838699340820312
1,1,45,88,247.54,2,-56.29999923706055,-1.0,7487.297398757934,0.006098518837069217,0.006098518837069217,1,7487.297398757934,8.361300468444824,8.361300468444824,x_min,11,14.93929958343506
1,1,45,88,247.54,3,56.29999923706055,4.0,7487.297398757934,0.006098518837069217,0.006098518837069217,1,7487.297398757934,8.361300468444824,8.361300468444824,x_max,1755,24.46649932861328
1,1,45,88,247.54,4,2.5999999046325684,-57.0,7487.297398757934,0.006098518837069217,0.006098518837069217,1,7487.297398757934,8.361300468444824,8.361300468444824,y_min,943,24.595699310302734
1,1,45,88,247.54,5,-0.8999999761581421,57.0,7487.297398757934,0.006098518837069217,0.006098518837069217,1,7487.297398757934,8.361300468444824,8.361300468444824,y_max,863,23.475000381469727
